Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s)
Logistic Regression,Set A,0.6795,0.3671,0.6202,0.4612,0.7084,0.4908,0.038
Logistic Regression,Set B,0.7558,0.4599,0.5968,0.5195,0.7583,0.5243,0.053
Decision Tree,Set A,0.7235,0.4188,0.6451,0.5079,0.7529,0.5136,0.163
Decision Tree,Set B,0.7317,0.4307,0.6624,0.522,0.7646,0.5288,0.308
KNN,Set A,0.7923,0.5474,0.3527,0.429,0.7015,0.4137,0.003
KNN,Set B,0.7928,0.5473,0.3662,0.4388,0.7075,0.4222,0.006
SVM,Set A,0.8083,0.6928,0.2396,0.3561,0.7077,0.49,0.224
SVM,Set B,0.8162,0.6564,0.3542,0.4601,0.7559,0.5173,0.657
Random Forest,Set A,0.7907,0.525,0.5614,0.5426,0.7752,0.5504,0.797
Random Forest,Set B,0.7922,0.5285,0.5584,0.5431,0.7785,0.5545,1.09
Gradient Boosting,Set A,0.8158,0.6529,0.3572,0.4618,0.7722,0.5408,20.869
Gradient Boosting,Set B,0.818,0.6594,0.3662,0.4709,0.7778,0.5507,40.752
XGBoost,Set A,0.7632,0.4715,0.5855,0.5224,0.7653,0.5425,0.45
XGBoost,Set B,0.7668,0.4785,0.6051,0.5344,0.7722,0.5465,0.457
